0	0	
0.4	0.0431	
0.8	0.0646	
1.2	0.1353	
1.6	0.164	
2	0.1984	
2.4	0.2314	
2.8	0.2977	
3.2	0.3327	
3.6	0.3668	
4	0.3755	
4.4	0.4461	
4.8	0.474	
5.2	0.4983	
5.6	0.5207	
6	0.5378	
6.4	0.5717	
6.8	0.6139	
7.2	0.6301	
7.6	0.6564	
8	0.7214	
8.4	0.7165	
8.8	0.7209	
9.2	0.7345	
9.6	0.7526	
10	0.7875	
10.4	0.8105	
10.8	0.8265	
11.2	0.841	
11.6	0.8532	
12	0.8421	
12.4	0.877	
12.8	0.8756	
13.2	0.8792	
13.6	0.8722	
14	0.9069	
14.4	0.9223	
14.8	0.9294	
15.2	0.9208	
15.6	0.9151	
16	0.9485	
16.4	0.9454	
16.8	0.9609	
17.2	0.9632	
17.6	0.9473	
18	0.9307	
18.4	0.9496	
18.8	0.9411	
19.2	0.975	
19.6	0.9447	
20	0.97548	
