0	0	2.4309678863105e-023	0	0	0	0	0	0	0	
0.02	3.0804362871583e-010	2.5032229166518e-008	1.327955061843e-007	2.3234684984442e-007	3.0184710316393e-007	3.4390703109709e-007	3.642101344185e-007	3.6924773159351e-007	3.6453966022314e-007	
0.04	5.1781798071856e-010	4.4368232114632e-008	2.50080865243e-007	4.4618154868512e-007	5.8530299485242e-007	6.7141461578299e-007	7.147566367154e-007	7.2757051064994e-007	7.2055117705879e-007	
0.06	6.6251766209097e-010	5.9109387003829e-008	3.5309993563304e-007	6.4271731068596e-007	8.5135210868592e-007	9.8321167971494e-007	1.0520759023851e-006	1.0752256748389e-006	1.0681773744533e-006	
0.08	7.6442105482691e-010	7.0224490771485e-008	4.430007163241e-007	8.230628230716e-007	1.1009079370199e-006	1.2799468734141e-006	1.3765839189157e-006	1.4124609463311e-006	1.4075567410209e-006	
0.1	8.3837140982847e-010	7.8543570661402e-008	5.2085472128139e-007	9.882338680192e-007	1.3348195274554e-006	1.5622316022112e-006	1.688677506456e-006	1.7395149004864e-006	1.7388235990271e-006	
0.12	8.9419895717749e-010	8.4757693886087e-008	5.876745736338e-007	1.1391635850373e-006	1.5538772879318e-006	1.8306427939936e-006	1.9887354739203e-006	2.0566174100949e-006	2.0621082668966e-006	
0.14	9.3838209726052e-010	8.9425392868432e-008	6.4442976516525e-007	1.2767116094656e-006	1.7588181858509e-006	2.0857254309036e-006	2.2771196973201e-006	2.3639900667547e-006	2.3775372155995e-006	
0.16	9.7517345648198e-010	9.2984858099464e-008	6.9206024576665e-007	1.4016722948992e-006	1.9503304153911e-006	2.3279948681863e-006	2.5541761264924e-006	2.6618465808597e-006	2.6852332192486e-006	
0.18	1.0073559690119e-009	9.5770054899091e-008	7.314872254767e-007	1.514782206456e-006	2.1290575977479e-006	2.5579389608096e-006	2.8202357258357e-006	2.9503931615615e-006	2.9853155002241e-006	
0.2	1.0367466363423e-009	9.8028573142373e-008	7.636203432724e-007	1.6167270564157e-006	2.2956025712055e-006	2.7760200162225e-006	3.0756153541599e-006	3.2298288779744e-006	3.2778998691245e-006	
0.22	1.0645300712907e-009	9.9939240733107e-008	7.8936026900164e-007	1.7081482423677e-006	2.4505308215138e-006	2.98267658965e-006	3.3206185883049e-006	3.5003460027995e-006	3.5630988598251e-006	
0.24	1.0914782168537e-009	1.0162808792641e-007	8.0959596336726e-007	1.7896491387907e-006	2.5943735978395e-006	3.1783251365963e-006	3.5555364947698e-006	3.7621303394627e-006	3.8410218599111e-006	
0.26	1.1180944823091e-009	1.0318188878604e-007	8.2519631078413e-007	1.8618012835334e-006	2.7276307554831e-006	3.3633615357248e-006	3.7806483532258e-006	4.015361533783e-006	4.1117752367386e-006	
0.28	1.1447079746493e-009	1.0465905132798e-007	8.369966648319e-007	1.9251505876003e-006	2.8507733635199e-006	3.5381624939748e-006	3.9962223354505e-006	4.2602133711159e-006	4.3754624593618e-006	
0.3	1.1715349299203e-009	1.0611940251746e-007	8.4578186958913e-007	1.9802236752569e-006	2.9642461134926e-006	3.703086844639e-006	4.2025161429167e-006	4.4968540598491e-006	4.6321842165523e-006	
0.32	1.1987186668577e-009	1.0759502936566e-007	8.5226825634449e-007	2.0275344253883e-006	3.0684695642464e-006	3.8584767481575e-006	4.3997776059942e-006	4.7254465020686e-006	4.8820385311236e-006	
0.34	1.2263555191374e-009	1.0908601150767e-007	8.5750414721447e-007	2.0675907262467e-006	3.1638422579651e-006	4.0046588045627e-006	4.5882452474779e-006	4.9461485521519e-006	5.1251208707645e-006	
0.36	1.254511637025e-009	1.1059242747024e-007	8.6271497749839e-007	2.1009013651444e-006	3.2507427434623e-006	4.1419450858354e-006	4.7681488129253e-006	5.1591132639945e-006	5.3615242555697e-006	
0.38	1.2832338555908e-009	1.1211435519233e-007	8.6794261945361e-007	2.1279828441052e-006	3.3295315448387e-006	4.270634095904e-006	4.9397097700903e-006	5.3644891275242e-006	5.5913393624501e-006	
0.4	1.3125567141343e-009	1.1365187201787e-007	8.7318706606202e-007	2.149365738622e-006	3.4005531167474e-006	4.3910116656332e-006	5.1031417795556e-006	5.5624202951109e-006	5.8146546265903e-006	
0.42	1.3425070061181e-009	1.1520505468869e-007	8.7844831027885e-007	2.1656000073862e-006	3.4641378316648e-006	4.5033517899202e-006	5.258651138506e-006	5.7530467984358e-006	6.031556340116e-006	
0.44	1.3731117294015e-009	1.167739793377e-007	8.8372634503345e-007	2.177258444053e-006	3.5206040496002e-006	4.6079174139561e-006	5.406437199442e-006	5.9365047563456e-006	6.2421287481194e-006	
0.46	1.4043905809743e-009	1.183587214822e-007	8.8902116323007e-007	2.185493311981e-006	3.5702603262458e-006	4.7049611758356e-006	5.546692765514e-006	6.1129265741739e-006	6.4464541421859e-006	
0.48	1.436357647701e-009	1.1995935601744e-007	8.9433275774858e-007	2.1933649243689e-006	3.6134078209939e-006	4.7947261130411e-006	5.6796044640485e-006	6.2824411349824e-006	6.644612951554e-006	
0.5	1.4690272865174e-009	1.2157595721045e-007	8.9966112144522e-007	2.2012507376291e-006	3.6503429703684e-006	4.8774463409157e-006	5.8053530997637e-006	6.4451739831354e-006	6.8366838320326e-006	
0.52	1.5024141288811e-009	1.2320859869391e-007	9.0500624715331e-007	2.2091507478604e-006	3.6813604932936e-006	4.9533477121295e-006	5.9241139891055e-006	6.6012475005964e-006	7.0227437527914e-006	
